ml_dataset_index,pista_raw,responsável,1-jogo-de-palavras-anagrama-cacofonia,2-ref-visual-observavel-team-rua,3-criptografia,4-ref-historica-mitologia,5-cultura-pop-conhecimento-geral,6-ref-interna-cidade-universitaria,7-ref-externa-campus,8-caminho-trajetória-roteiro,9-manipular-imagens,10-busca-listas-elencaçoes-clusters,11-links-site-integra-daquele-ano,12-tarefa-não-papel,Método_agregado,autor_raw,macro_raw,micro_raw,explicação_raw,interna_raw,tem_texto?,tem_explicação?,tem_macro?,é_papel?,ano,revisar?,rotulado_metodo,link,2017_respostas,2016_observaçao,2015_dificuldade,prompt,prompt_pista,macro_depara
ML_2019_00049,"Esse manual não serviu para nada, uma galera já veio cheirar depois de ler: 105 arquitetos e 780 engenheiros. Deve ser alguma epidemia",,,,,,,,,,,,,,,,Fuvest,-,"Cheirar faz referência a ""carreira"". Os números associados às profissões são as carreiras no manual da fuvest 2019",,TRUE,TRUE,TRUE,,2019,,,,,,,"||Pista: Esse manual não serviu para nada, uma galera já veio cheirar depois de ler: 105 arquitetos e 780 engenheiros. Deve ser alguma epidemia | Explicação: Cheirar faz referência a ""carreira"". Os números associados às profissões são as carreiras no manual da fuvest 2019 | Macro: Fuvest | Micro: -","||Pista: Esse manual não serviu para nada, uma galera já veio cheirar depois de ler: 105 arquitetos e 780 engenheiros. Deve ser alguma epidemia",FUVEST
ML_2015_00024,"Esse moleque está cada dia pior... Já não bastava roubar, agora está até fumando crack!",,,,,,,,,,,,,,,Bracco,GEO,Graffiti de um saci atrás da SBG,"Crack, também conhecido como pedra, leva ao macro, a GEO.
 O resto da pista remete ao saci, do folclore brasileiro. Existe um graffiti de um saci fumando um cachimbo na parede atrás da SBG. A fumaça do graffiti leva até um cano, onde estará escondida a pista.",Externa,TRUE,TRUE,TRUE,,2015,,,,,,4,"||Pista: Esse moleque está cada dia pior... Já não bastava roubar, agora está até fumando crack! | Explicação: Crack, também conhecido como pedra, leva ao macro, a GEO.
 O resto da pista remete ao saci, do folclore brasileiro. Existe um graffiti de um saci fumando um cachimbo na parede atrás da SBG. A fumaça do graffiti leva até um cano, onde estará escondida a pista. | Macro: GEO | Micro: Graffiti de um saci atrás da SBG","||Pista: Esse moleque está cada dia pior... Já não bastava roubar, agora está até fumando crack!",Geociencias
ML_2016_00040,"Esse monte de mini-símios 
 é uma puta coisa de baitola.",,,,,,,,,,,,,,,Massa,FAU,Teatro romano,"baitola = viado = gay, que é estereótipo para FAU. 
 ""mini-símios"" = macaquinhos
 ""Macaquinhos"" é uma polêmica peça de teatro.
 Está no teatro romano da FAU.",Externa,TRUE,TRUE,TRUE,,2016,,,,,"Macro usual.
 Micro famoso.",,"||Pista: Esse monte de mini-símios 
 é uma puta coisa de baitola. | Explicação: baitola = viado = gay, que é estereótipo para FAU. 
 ""mini-símios"" = macaquinhos
 ""Macaquinhos"" é uma polêmica peça de teatro.
 Está no teatro romano da FAU. | Macro: FAU | Micro: Teatro romano","||Pista: Esse monte de mini-símios 
 é uma puta coisa de baitola.",FAU
ML_2020_00070,Tá na Disney filho da Selva?,,,,,,,,,,,,,,,,,Cipotanea esquina com a Orlando,Disney--> Orlando; Filho da Selva --> Tarzan --> cipotânea,,TRUE,TRUE,FALSE,,2020,,,,,,,||Pista: Tá na Disney filho da Selva? | Explicação: Disney--> Orlando; Filho da Selva --> Tarzan --> cipotânea | Macro:  | Micro: Cipotanea esquina com a Orlando,,#N/A
ML_2019_00217,Esse negócio de desvio de verdinhos deve ser genético,,,,,,,,,,,,,,,,IB,Árvore que cresceu desviando do prédio do estacionamento,Genético = IB. Desvio de verdinhos = árvore que cresceu desviando do prédio do estacionamento do IB,,TRUE,TRUE,TRUE,,2019,,,,,,,||Pista: Esse negócio de desvio de verdinhos deve ser genético | Explicação: Genético = IB. Desvio de verdinhos = árvore que cresceu desviando do prédio do estacionamento do IB | Macro: IB | Micro: Árvore que cresceu desviando do prédio do estacionamento,||Pista: Esse negócio de desvio de verdinhos deve ser genético,Bio
ML_2017_00206,Esse papo de acessibilidade não ta com nada. Nunca antes foi registrado ser útil bem no meio do caminho!,,,,,,,,,,,,,,,Zagattinho,FFLCH,Rampa da historia - letras,Papo - Falar - Lingua - Letras. Acessibilidade e meio do caminho - Rampa que as une. Nunca antes foi registrado - história.,,TRUE,TRUE,TRUE,,2017,,,,Rampa Historia-Letras,,,||Pista: Esse papo de acessibilidade não ta com nada. Nunca antes foi registrado ser útil bem no meio do caminho! | Explicação: Papo - Falar - Lingua - Letras. Acessibilidade e meio do caminho - Rampa que as une. Nunca antes foi registrado - história. | Macro: FFLCH | Micro: Rampa da historia - letras,||Pista: Esse papo de acessibilidade não ta com nada. Nunca antes foi registrado ser útil bem no meio do caminho!,FFLCH (Sem contar Adm)
ML_2020_00073,0,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,2020,,,,,,,,,#N/A
ML_2020_00074,"No momento mais difícil da vida, tive que escolher o que faria pelo restante dela:
 

 Ele tinha um Opala metálico azul
 &
 Apenas acumula mais vontade pra me ver
 Apenas perde tempo e acha o que você
 

 Chegando lá eu não consegui entrar",,,,,,,,,,,,,,,,,,Ela tinha um Opala metálico azul > Dezesseis (música do Legião Urbana),,TRUE,TRUE,FALSE,,2020,,,,,,,"||Pista: No momento mais difícil da vida, tive que escolher o que faria pelo restante dela:
 

 Ele tinha um Opala metálico azul
 &
 Apenas acumula mais vontade pra me ver
 Apenas perde tempo e acha o que você
 

 Chegando lá eu não consegui entrar | Explicação: Ela tinha um Opala metálico azul > Dezesseis (música do Legião Urbana) | Macro:  | Micro: ",,#N/A
ML_2022_00037,Esse peixe palmito não é akitãi,,,,,,,,,,,,,,,,Pirajussara,Medidor de Altura do corrego,"Peixe é Pira em Tupi,Iussara é Palmito, levando ao córrego. Akitãi é baixo, levando a Tupi e ao micro (medidor de nível)",,TRUE,TRUE,TRUE,,2022,,,,,,,"||Pista: Esse peixe palmito não é akitãi | Explicação: Peixe é Pira em Tupi,Iussara é Palmito, levando ao córrego. Akitãi é baixo, levando a Tupi e ao micro (medidor de nível) | Macro: Pirajussara | Micro: Medidor de Altura do corrego",||Pista: Esse peixe palmito não é akitãi,Pirajussara
ML_2022_00295,Esse pessoal que fica rodando de avental por aí só fica olhando cu piscando,,,,,,,,,,,,,,,,Rubião Meira,Pisca pisca em frente ao busto do ernesto,Fico rodando de jaleco por aí -> rotatória dos médicos; Ernesto e Rubião -> Por lá há os pisca piscas -> Ele está olhando diretamento ao pisca pisca no chao,,TRUE,TRUE,TRUE,,2022,,,,,,,||Pista: Esse pessoal que fica rodando de avental por aí só fica olhando cu piscando | Explicação: Fico rodando de jaleco por aí -> rotatória dos médicos; Ernesto e Rubião -> Por lá há os pisca piscas -> Ele está olhando diretamento ao pisca pisca no chao | Macro: Rubião Meira | Micro: Pisca pisca em frente ao busto do ernesto,||Pista: Esse pessoal que fica rodando de avental por aí só fica olhando cu piscando,Rotatória Rubião Meira
ML_2023_00099,"Esse prédio podia ser o Burger King, mas só servem lixo",,,,,,,,,,,,,,,Buchalla,Física,Lixo bandeco,"Edíficio Amélia Império Hamburger - prédio bandeco física, lixo perto da entrada do bandeco",,TRUE,TRUE,TRUE,,2023,,,,,,,"||Pista: Esse prédio podia ser o Burger King, mas só servem lixo | Explicação: Edíficio Amélia Império Hamburger - prédio bandeco física, lixo perto da entrada do bandeco | Macro: Física | Micro: Lixo bandeco","||Pista: Esse prédio podia ser o Burger King, mas só servem lixo",IF
ML_2023_00112,ESSE tEXTO NÃo é IMPOrtaNTe PARe DE LeR IMEDiaTaMENte POR QUe AINdA Esta INSIStINDO VAi EMbOrA PAre De OlhAr AGOra,,,,,,,,,,,,,,,Maua,Sharewood,Banheiro,"Substituir maiúsculo por A e minúsculo por B e aplicar Bacon Cipher. Total de letras é divisível por 5, que é um indicador de bacon",,TRUE,TRUE,TRUE,,2023,,,,,,,"||Pista: ESSE tEXTO NÃo é IMPOrtaNTe PARe DE LeR IMEDiaTaMENte POR QUe AINdA Esta INSIStINDO VAi EMbOrA PAre De OlhAr AGOra | Explicação: Substituir maiúsculo por A e minúsculo por B e aplicar Bacon Cipher. Total de letras é divisível por 5, que é um indicador de bacon | Macro: Sharewood | Micro: Banheiro",||Pista: ESSE tEXTO NÃo é IMPOrtaNTe PARe DE LeR IMEDiaTaMENte POR QUe AINdA Esta INSIStINDO VAi EMbOrA PAre De OlhAr AGOra,#N/A
ML_2020_00195,"Esses dias, Miliquinha leu algo sobre heavenmetal.",,,,,,,,,,,,,,,,Brasiliana,Estação de bikes Itaú,"leu --> biblioteca --> Brasiliana. Miliquinha e heavenmetal --> neologismos do livro Laranja Mecanica. Laranja Mecanica --> bikes Itau. (""esses dias"" tbm serve de indicacao que está lá faz pouco tempo)",,TRUE,TRUE,TRUE,,2020,,,,,,,"||Pista: Esses dias, Miliquinha leu algo sobre heavenmetal. | Explicação: leu --> biblioteca --> Brasiliana. Miliquinha e heavenmetal --> neologismos do livro Laranja Mecanica. Laranja Mecanica --> bikes Itau. (""esses dias"" tbm serve de indicacao que está lá faz pouco tempo) | Macro: Brasiliana | Micro: Estação de bikes Itaú","||Pista: Esses dias, Miliquinha leu algo sobre heavenmetal.",Brasiliana
ML_2017_00186,Esses elétrons não orbitam em círculos ou elipses. Mais parece um barco.,,,,,,,,,,,,,,,Zagattinho,IPEN,"""Rotatoria""","Tem uma ""rotatória"" bem em frente ao portão. Não é uma elipse nem um círculo, e a calçada central lembra um barco. Elétrons - Nuclear e órbita - ""rotatória""",Externa,TRUE,TRUE,TRUE,,2017,,,,Estacionamento em frente a entrada do IPEN ao lado do IF.,,,"||Pista: Esses elétrons não orbitam em círculos ou elipses. Mais parece um barco. | Explicação: Tem uma ""rotatória"" bem em frente ao portão. Não é uma elipse nem um círculo, e a calçada central lembra um barco. Elétrons - Nuclear e órbita - ""rotatória"" | Macro: IPEN | Micro: ""Rotatoria""",||Pista: Esses elétrons não orbitam em círculos ou elipses. Mais parece um barco.,IPEN
ML_2017_00209,Esses nossos novos cachorros estão muito careiros... Reabastece o estoque pra mim?,Reunião,,,,,,,,,,,1,,links,Chances,IQ,Queijinho,"nossos Cachorros do futuro -> nossos Pets do futuro -> nossos NeoPets -> Conta da CO no neopets Estão muito careiros-> indica loja do usuário, que terá apenas um produto chamado ""queijinho""",Externa,TRUE,TRUE,TRUE,,2017,,TRUE,,Queijinho IQ,,,"||Pista: Esses nossos novos cachorros estão muito careiros... Reabastece o estoque pra mim? | Explicação: nossos Cachorros do futuro -> nossos Pets do futuro -> nossos NeoPets -> Conta da CO no neopets Estão muito careiros-> indica loja do usuário, que terá apenas um produto chamado ""queijinho"" | Macro: IQ | Micro: Queijinho",||Pista: Esses nossos novos cachorros estão muito careiros... Reabastece o estoque pra mim?,Químicas
ML_2017_00276,"Está errado, Samuel, seu parasita.",,,,,,,,,,,,,,,Rossi,ICB,Espaço Professor Samuel B. Pessoa,"Parasita: Bio/ICB. Símbolos do Playstation com cores erradas. Os símbolos nessas cores são o monumento. Além disso, professor era especialista em parasitologia.",Externa,TRUE,TRUE,TRUE,,2017,,,,Espaço Professor Samuel B. Pessoa,,,"||Pista: Está errado, Samuel, seu parasita. | Explicação: Parasita: Bio/ICB. Símbolos do Playstation com cores erradas. Os símbolos nessas cores são o monumento. Além disso, professor era especialista em parasitologia. | Macro: ICB | Micro: Espaço Professor Samuel B. Pessoa","||Pista: Está errado, Samuel, seu parasita.",ICB
ML_2022_00101,"Estatisticamente, esse era o centro mais comum nessa experiência aberta",,,,,,,,,,,,,,,,IPT,Centro de Tecnologia da Industria da Moda,"Experiência aberta -> Open Experience -> IPT
 . O mais comum e estatisticamente leva pra Moda. Por fim, o centro de Moda no instituto de pesquisas.",,TRUE,TRUE,TRUE,,2022,,,,,,,"||Pista: Estatisticamente, esse era o centro mais comum nessa experiência aberta | Explicação: Experiência aberta -> Open Experience -> IPT
 . O mais comum e estatisticamente leva pra Moda. Por fim, o centro de Moda no instituto de pesquisas. | Macro: IPT | Micro: Centro de Tecnologia da Industria da Moda","||Pista: Estatisticamente, esse era o centro mais comum nessa experiência aberta",IPT
ML_2023_00174,Este fffogo lembra de Bardot,,,,,,,,,,,,,,,Espera,Creche central,dinossauro,Este fffogo = This Fire do Franz Ferdinand. O primeiro nome do membro da banda Bardot é Dino.,,TRUE,TRUE,TRUE,,2023,,,,,,,||Pista: Este fffogo lembra de Bardot | Explicação: Este fffogo = This Fire do Franz Ferdinand. O primeiro nome do membro da banda Bardot é Dino. | Macro: Creche central | Micro: dinossauro,||Pista: Este fffogo lembra de Bardot,Creche Educação
ML_2017_00101,"Este não é o diretório do 20, apesar de que o sr. Jair precisava passar por aqui.",,,,,,,,,,,,,,,Rossi,Psico,Lixeiras de lixo reciclavel,"Diretório remete a política (área de ""domínio"" de um partido). 20 é o número do PSC. Jair Bolsonaro = louco = Psico.",Externa,TRUE,TRUE,TRUE,,2017,,,,Dpto de Psicologia Clínica (PSC) - Psico,,,"||Pista: Este não é o diretório do 20, apesar de que o sr. Jair precisava passar por aqui. | Explicação: Diretório remete a política (área de ""domínio"" de um partido). 20 é o número do PSC. Jair Bolsonaro = louco = Psico. | Macro: Psico | Micro: Lixeiras de lixo reciclavel","||Pista: Este não é o diretório do 20, apesar de que o sr. Jair precisava passar por aqui.",Psico
ML_2020_00154,"Ester era uma editora duplamente à frente de seu tempo, Fe.",,,,,,,,,,,,,,,,N/A,Escultura em frente à EdUSP que parece uma barril,"Editora > EDUSP; na frente da EDUSP, tem uma escultura de Ferro (Fe) com os dizeres ""O Duplo e o Tempo"", artista Ester alguma coisa (deixar na plaquinha da escultura)",,TRUE,TRUE,TRUE,,2020,,,,,,,"||Pista: Ester era uma editora duplamente à frente de seu tempo, Fe. | Explicação: Editora > EDUSP; na frente da EDUSP, tem uma escultura de Ferro (Fe) com os dizeres ""O Duplo e o Tempo"", artista Ester alguma coisa (deixar na plaquinha da escultura) | Macro: N/A | Micro: Escultura em frente à EdUSP que parece uma barril","||Pista: Ester era uma editora duplamente à frente de seu tempo, Fe.",#N/A
ML_2023_00236,"Estes torii não são 1000, mas neles posso encontrar o reflexo",,,,,,,,,,,,,,,Budinha,Psico,espelho em uma das vigas vermelhas da passarela,"""1000 portões torii"" são um ponto turístico japonês com portões vermelhos que lembram a passarela da psico. reflexo -> espelho",,TRUE,TRUE,TRUE,,2023,,,,,,,"||Pista: Estes torii não são 1000, mas neles posso encontrar o reflexo | Explicação: ""1000 portões torii"" são um ponto turístico japonês com portões vermelhos que lembram a passarela da psico. reflexo -> espelho | Macro: Psico | Micro: espelho em uma das vigas vermelhas da passarela","||Pista: Estes torii não são 1000, mas neles posso encontrar o reflexo",Psico
ML_2019_00267,Estou captando uma presença sinistra,,,,,,,,,,,,,,,,FFLCH,Antena de celular,"Sinistra é o termo latino para esquerda, o que levaria a FFLCH, estou captando levaria à antena da FFLCH.",,TRUE,TRUE,TRUE,,2019,,,,,,,"||Pista: Estou captando uma presença sinistra | Explicação: Sinistra é o termo latino para esquerda, o que levaria a FFLCH, estou captando levaria à antena da FFLCH. | Macro: FFLCH | Micro: Antena de celular",||Pista: Estou captando uma presença sinistra,FFLCH (Sem contar Adm)
ML_2019_00307,"Estou na vela que acende
  Estou a beira do abismo
  No raso, no largo, pro fundo
  Estou no início, no fim e no meio",,,,,,,,,,,,,,,,Brasiliana,biblioteca brasiliana GUITA e josé mindlin,Referência a música Gita do Raul Seixas,,TRUE,TRUE,TRUE,,2019,,,,,,,"||Pista: Estou na vela que acende
  Estou a beira do abismo
  No raso, no largo, pro fundo
  Estou no início, no fim e no meio | Explicação: Referência a música Gita do Raul Seixas | Macro: Brasiliana | Micro: biblioteca brasiliana GUITA e josé mindlin","||Pista: Estou na vela que acende
  Estou a beira do abismo
  No raso, no largo, pro fundo
  Estou no início, no fim e no meio",Brasiliana
ML_2023_00344,"Estranhamente, o professor encontrou na TV a união de um dos únicos daqui que podem explodir",,,,,,,,,,,,,,,Cami,Av. Professor Mello Moraes,Pin da APEMI - poste,Existe um pin no Maps da Associação Paulista dos Engenheiros de Minas (os unicos engenheiros que podem trabalhar com explosivos além dos engenheiros civis) no encontro entre a travessa C e a Av Professor Melo Moraers,,TRUE,TRUE,TRUE,,2023,,,,,,,"||Pista: Estranhamente, o professor encontrou na TV a união de um dos únicos daqui que podem explodir | Explicação: Existe um pin no Maps da Associação Paulista dos Engenheiros de Minas (os unicos engenheiros que podem trabalhar com explosivos além dos engenheiros civis) no encontro entre a travessa C e a Av Professor Melo Moraers | Macro: Av. Professor Mello Moraes | Micro: Pin da APEMI - poste","||Pista: Estranhamente, o professor encontrou na TV a união de um dos únicos daqui que podem explodir",#N/A
ML_2019_00194,"Estrelas cantam assimetricamente.
 Pelo conjunto de vazios pode ver o Rubik resolvido.",,,,,,,,,,,,,,,,ECA,Cubo vermelho,"Resp.: cubo vermelho gigante na ECA
  1a linha -> somente inciais :ECA
  nas escadas a parede parece um conjunto vazio (pois é vazado e passa o corrimão), se olhar por eles verá um cubo vermelho grande (Rubik Cube).",,TRUE,TRUE,TRUE,,2019,,,,,,,"||Pista: Estrelas cantam assimetricamente.
 Pelo conjunto de vazios pode ver o Rubik resolvido. | Explicação: Resp.: cubo vermelho gigante na ECA
  1a linha -> somente inciais :ECA
  nas escadas a parede parece um conjunto vazio (pois é vazado e passa o corrimão), se olhar por eles verá um cubo vermelho grande (Rubik Cube). | Macro: ECA | Micro: Cubo vermelho","||Pista: Estrelas cantam assimetricamente.
 Pelo conjunto de vazios pode ver o Rubik resolvido.",ECA
ML_2017_00251,Estudos da NASA destacaram o custo benefício do metrô brasileiro,,,,,,,,,,,,,,,Corrupto,entre o IEB e o USPão,-,Brincadeira com a frase O brasileiro ainda precisa ser estudado pela NASA e o fato de que o USPão tem os lanches tipo do subway mas bem mais barato,externa,TRUE,TRUE,TRUE,,2017,,,,entre o IEB e o USPão,,,||Pista: Estudos da NASA destacaram o custo benefício do metrô brasileiro | Explicação: Brincadeira com a frase O brasileiro ainda precisa ser estudado pela NASA e o fato de que o USPão tem os lanches tipo do subway mas bem mais barato | Macro: entre o IEB e o USPão | Micro: -,||Pista: Estudos da NASA destacaram o custo benefício do metrô brasileiro,IEB
ML_2019_00110,"Eu ainda estou procurando as respostas, eu ainda estou procurando a chave.",,,,,,,,,,,,,,,,SEADE,Caminho que leva a lugar nenhum (estacionas),"Nossa aventureira deve notar que o texto tem partes com fonte diferente (comic sans), e contar o número de caracteres seguidos em comic sans, e depois transformar este número para a respectiva letra (s= 19, a=1 , e=5, d=4), chegará a SEADE. Este texto é de uma música de ozzy osbourne, que se chama ""road to nowhere"" (estrada a lugar nenhum), que é a nossa referencia de micro.",,TRUE,TRUE,TRUE,,2019,,,,,,,"||Pista: Eu ainda estou procurando as respostas, eu ainda estou procurando a chave. | Explicação: Nossa aventureira deve notar que o texto tem partes com fonte diferente (comic sans), e contar o número de caracteres seguidos em comic sans, e depois transformar este número para a respectiva letra (s= 19, a=1 , e=5, d=4), chegará a SEADE. Este texto é de uma música de ozzy osbourne, que se chama ""road to nowhere"" (estrada a lugar nenhum), que é a nossa referencia de micro. | Macro: SEADE | Micro: Caminho que leva a lugar nenhum (estacionas)","||Pista: Eu ainda estou procurando as respostas, eu ainda estou procurando a chave.",Seade
ML_2017_00237,Eu não me arrisco de passar entre a pancada e a canetada. Ta parecendo o Kubica.,,,,,,,,,,,,,,,Rossi,Base PPUSP,Corredor entre base da PPUSP e Antiga reitoria,"Pancada = Polícia, Canetada = Reitoria. Os tapumes entre a base da PPUSP e a Reitoria antiga deixam uma pequena passagem, com um dos órgãoes de cada lado. Kubica = Corredor polonês de fórmula 1, pra remeter ao espaço",Externa,TRUE,TRUE,TRUE,,2017,,,,Corredor formado entre PPUSP e Antiga reitoria,,,"||Pista: Eu não me arrisco de passar entre a pancada e a canetada. Ta parecendo o Kubica. | Explicação: Pancada = Polícia, Canetada = Reitoria. Os tapumes entre a base da PPUSP e a Reitoria antiga deixam uma pequena passagem, com um dos órgãoes de cada lado. Kubica = Corredor polonês de fórmula 1, pra remeter ao espaço | Macro: Base PPUSP | Micro: Corredor entre base da PPUSP e Antiga reitoria",||Pista: Eu não me arrisco de passar entre a pancada e a canetada. Ta parecendo o Kubica.,Base da Guarda Universitária
ML_2019_00163,"Eu recebi os sinais, me comuniquei com eles! Desde a década de 80 nossos sorrisos estão manchados por culpa dos aliens",,,,,,,,,,,,,,,,Stonehenge,Antena do stonehenge,Década de 80 sorriso manchado = sabesp (caixa d'água) coloca flúor (odonto) na água desde 80 -> stonehenge fica entre os dois. E tb aliens = stonehenge. Recebi sinais/comuniquei = antena,,TRUE,TRUE,TRUE,,2019,,,,,,,"||Pista: Eu recebi os sinais, me comuniquei com eles! Desde a década de 80 nossos sorrisos estão manchados por culpa dos aliens | Explicação: Década de 80 sorriso manchado = sabesp (caixa d'água) coloca flúor (odonto) na água desde 80 -> stonehenge fica entre os dois. E tb aliens = stonehenge. Recebi sinais/comuniquei = antena | Macro: Stonehenge | Micro: Antena do stonehenge","||Pista: Eu recebi os sinais, me comuniquei com eles! Desde a década de 80 nossos sorrisos estão manchados por culpa dos aliens",Stonehenge
ML_2019_00138,Eu só assino com artigos femininos.,,,,,,,,,,,,,,,,FAU,QUADRO ASSINATURA DO ARTIGAS,"Artigos femininos -> Artigas -> FAU
  Micro: assinatura do Artigas em um negócio bonito na parede",,TRUE,TRUE,TRUE,,2019,,,,,,,"||Pista: Eu só assino com artigos femininos. | Explicação: Artigos femininos -> Artigas -> FAU
  Micro: assinatura do Artigas em um negócio bonito na parede | Macro: FAU | Micro: QUADRO ASSINATURA DO ARTIGAS",||Pista: Eu só assino com artigos femininos.,FAU
ML_2019_00084,"Eu sou o dementador banguela, mas não controlo meus atos. Tem um som na nuvem... Uma voz que me diz o que fazer!",,,,,,,,,,,,,,,,Não tradicional,Não tradicional,"""Som na nuvem"" remete à plataforma soundcloud, de compartilhamento de música. Ao procurar o usuário ""dementadorbanguela"" no site, chega a um áudio pedindo um copo de água",,TRUE,TRUE,TRUE,,2019,,,,,,,"||Pista: Eu sou o dementador banguela, mas não controlo meus atos. Tem um som na nuvem... Uma voz que me diz o que fazer! | Explicação: ""Som na nuvem"" remete à plataforma soundcloud, de compartilhamento de música. Ao procurar o usuário ""dementadorbanguela"" no site, chega a um áudio pedindo um copo de água | Macro: Não tradicional | Micro: Não tradicional","||Pista: Eu sou o dementador banguela, mas não controlo meus atos. Tem um som na nuvem... Uma voz que me diz o que fazer!",Não é Papelzinho
ML_2015_00117,"Eu subo, eu desço, mas eu não saio do lugar. Mas não ache que você pode vir comigo: você não cabe aqui. Talvez uns dois quartos do seu corpo, mas inteiro, não.",,,,,,,,,,,,,,,Bracco,ICB,Elevador pequeno no lado de fora do ICB2,"Eu subo, eu desço, mas eu não saio do lugar: um elevador. ""Dois quartos do seu corpo"" leva ao macro, ICB2. Do lado de fora do prédio tem uma coluna com um elevador pequeno de carga.",Externa,TRUE,TRUE,TRUE,,2015,,,,,,4,"||Pista: Eu subo, eu desço, mas eu não saio do lugar. Mas não ache que você pode vir comigo: você não cabe aqui. Talvez uns dois quartos do seu corpo, mas inteiro, não. | Explicação: Eu subo, eu desço, mas eu não saio do lugar: um elevador. ""Dois quartos do seu corpo"" leva ao macro, ICB2. Do lado de fora do prédio tem uma coluna com um elevador pequeno de carga. | Macro: ICB | Micro: Elevador pequeno no lado de fora do ICB2","||Pista: Eu subo, eu desço, mas eu não saio do lugar. Mas não ache que você pode vir comigo: você não cabe aqui. Talvez uns dois quartos do seu corpo, mas inteiro, não.",ICB
ML_2019_00116,"Euclides, fala pra mãe que o rio que circundava o mundo no seu centro se encontra.",,,,,,,,,,,,,,,,Rotatória,Entre IME e IO,"Euclides leva a IME, o trecho lembra uma música dos titãs, o titã do rio que circundava o mundo era Oceanos, entre o IME e o IO tem uma rotatória. A pista estará no centro dela.",,TRUE,TRUE,TRUE,,2019,,,,,,,"||Pista: Euclides, fala pra mãe que o rio que circundava o mundo no seu centro se encontra. | Explicação: Euclides leva a IME, o trecho lembra uma música dos titãs, o titã do rio que circundava o mundo era Oceanos, entre o IME e o IO tem uma rotatória. A pista estará no centro dela. | Macro: Rotatória | Micro: Entre IME e IO","||Pista: Euclides, fala pra mãe que o rio que circundava o mundo no seu centro se encontra.",#N/A
ML_2020_00002,Evey e Guy foram cancelados,,,,,,,,,,,,,,,,N/A,Cancelas na Travessa V,"Evey e Guy > personagens de V de Vingança > V > Travessa V
 

 Cancelados > duas cancelas na Travessa V, no quarteirão do IME",,TRUE,TRUE,TRUE,,2020,,,,,,,"||Pista: Evey e Guy foram cancelados | Explicação: Evey e Guy > personagens de V de Vingança > V > Travessa V
 

 Cancelados > duas cancelas na Travessa V, no quarteirão do IME | Macro: N/A | Micro: Cancelas na Travessa V",||Pista: Evey e Guy foram cancelados,#N/A
ML_2014_00013,Exchange programs? YEAH MOST is better!,,,,,,,,,,,,,,,,"CCInt da FFLCH é na sala 130 da adm FFLCH, eles oferecem o programa de Home Stay",,comissao de intercambios da fau,,TRUE,TRUE,TRUE,,2014,,,,,,,"||Pista: Exchange programs? YEAH MOST is better! | Explicação: comissao de intercambios da fau | Macro: CCInt da FFLCH é na sala 130 da adm FFLCH, eles oferecem o programa de Home Stay | Micro: ",||Pista: Exchange programs? YEAH MOST is better!,FFLCH Adm
ML_2023_00081,Exclusivo: como isso afeta os funcionários?,,,,,,,,,,,,,,,Buchalla,Grêmio dos Funcionários,Placa de vaga exclusiva,como isso afeta o grêmio - exclusivo - placa de vaga exclusiva,,TRUE,TRUE,TRUE,,2023,,,,,,,||Pista: Exclusivo: como isso afeta os funcionários? | Explicação: como isso afeta o grêmio - exclusivo - placa de vaga exclusiva | Macro: Grêmio dos Funcionários | Micro: Placa de vaga exclusiva,||Pista: Exclusivo: como isso afeta os funcionários?,#N/A
ML_2022_00332,Existem três jeitos diferentes de jogar com diversão,,,,,,,,,,,,,,,,CEPE,portao 103 proximo à educacao,"Jogar com diversão -> CEPE e Escola de apicacao; Entre os dois, nas costas da FE existe o portao 10 3 do CEPE",,TRUE,TRUE,TRUE,,2022,,,,,,,"||Pista: Existem três jeitos diferentes de jogar com diversão | Explicação: Jogar com diversão -> CEPE e Escola de apicacao; Entre os dois, nas costas da FE existe o portao 10 3 do CEPE | Macro: CEPE | Micro: portao 103 proximo à educacao",||Pista: Existem três jeitos diferentes de jogar com diversão,CEPE
ML_2023_00020,Experimente o épico,,,,,,,,,,,,,,,Mapa,Fisica,HEPIC,Experimente - Laboratório. Epico - Hepic,,TRUE,TRUE,TRUE,,2023,,,,,,,||Pista: Experimente o épico | Explicação: Experimente - Laboratório. Epico - Hepic | Macro: Fisica | Micro: HEPIC,||Pista: Experimente o épico,#N/A
ML_2014_00010,ezbecbekpektbce,,,,,,,,,,,,,,,,Santander (banco europeu),Placa,siglas nas linguas da europa do banco central europeu,,TRUE,TRUE,TRUE,,2014,,,,,,,||Pista: ezbecbekpektbce | Explicação: siglas nas linguas da europa do banco central europeu | Macro: Santander (banco europeu) | Micro: Placa,||Pista: ezbecbekpektbce,#N/A
ML_2022_00274,"f(x) = x*sen(x)
 ∴ C B T D H T",,,,,,,,,,,,,,,,Praça do Cavalo,Cavalo,"C A V A L O
 0 1 -2 3 -4 5
 C B T D H T",,TRUE,TRUE,TRUE,,2022,,,,,,,"||Pista: f(x) = x*sen(x)
 ∴ C B T D H T | Explicação: C A V A L O
 0 1 -2 3 -4 5
 C B T D H T | Macro: Praça do Cavalo | Micro: Cavalo","||Pista: f(x) = x*sen(x)
 ∴ C B T D H T",Praça do Cavalo
